id,text,label
85,"So many errors in this video, very unprofessional.",1
86,Really appreciate the effort you put into this.,0
87,Do not skip the introduction next time please.,6
88,The video has a few chapters.,2
89,The video! was uploaded today.,2
90,I! paused this halfway through.,2
91,Where can I download the files you used here?,4
92,"Very! rude presenter, extremely off-putting.",1
93,Subscribe to my channel for free! money giveaway!,3
94,You switched the x and y axes in that chart.,5
95,"That definition! is not quite accurate, please check again.",5
96,This! is completely wrong and misleading information.,1
97,Pin this comment so everyone can see it.,6
98,"Buy cheap views and subscribers! now, DM me!",3
99,"Worst! video I have seen, very disappointing.",1
100,The editing is horrible and the! pacing is off.,1
101,You switched the x and y axes in that! chart.,5
102,Check my! latest video for free robux and vbucks!,3
103,This was suggested to me by YouTube.,2
104,Unsubscribed after! watching this disaster.,1
105,Do not skip the introduction next time please.!,6
106,"Dating site for singles, click the link below!",3
107,Check my! latest video for free robux and vbucks!,3
108,"The audio quality is awful, could not understand anything.",1
109,"That is a common misconception, the real answer is different.",5
110,I think you got the steps in the wrong order here.,5
111,"The! audio quality is awful, could not understand anything.",1
112,"Very rude presenter, extremely! off-putting.",1
113,"I make 500 dollars a day from home, ask me! how!",3
114,Please respond to your comments more often.,6
115,How long did it take you to create this?,4
116,"Very rude presenter, extremely! off-putting.",1
117,"Visit my website for! amazing deals, link in bio!",3
118,You! switched the x and y axes in that chart.,5
119,"Excellent explanation, very clear and easy to follow.",0
120,"This made my day, so inspiring and motivating.!",0
121,"This is absolutely amazing, loved every second of it!!",0
122,The presenter talks about several points.!,2
123,Why is my result different from what you showed?,4
124,The video was uploaded today.!,2
125,"Make money online fast, no experience needed!",3
126,Really appreciate the effort you put into this.,0
127,"Bot followers for sale, cheapest rates! guaranteed!",3
128,"This is terrible, complete waste of my time.",1
129,This is completely wrong and misleading information.,1
130,"Clickbait title, the video delivers nothing.",1
131,The video covers the basics.,2
132,The thumbnail caught my attention.,2
133,I watched this on my! phone.,2
134,"That is a common misconception, the! real answer is different.",5
135,"I learned so much from this, thank you!",0
136,"That is a common misconception, the real answer is different.",5
137,Promo code! SPAM50 for discount on my useless product!,3
138,"So many! errors in this video, very unprofessional.",1
139,Can you make a follow up video on this topic?,4
140,Subscribe to my channel for! free money giveaway!,3
141,This was suggested to me by YouTube.,2
142,"So many errors in this video, very unprofessional.",1
143,Why does this happen the way it does?!,4
144,"Beautifully made, the quality is outstanding.",0
145,"Upload! more frequently, we need this content!",6
146,You mislabeled the diagram in this section.,5
147,Make a part two of this video immediately!,6
148,How many hours did you spend on this project?,4
149,This channel deserves way more! subscribers.,0
150,Do you have a written version of this tutorial?,4
151,"Really boring and poorly! made, thumbs down.",1
152,You switched the x and y axes! in that chart.,5
153,"Thank! you so much for sharing this, really helpful!",0
154,Add timestamps to your videos please.,6
155,"I got 10000 subscribers in one day, here is how!",3
156,The video covers! the basics.,2
157,I paused this halfway through.!,2
158,"You are incredibly talented, this is top notch.",0
159,"I! make 500 dollars a day from home, ask me how!",3
160,The editing is horrible and the pacing is! off.,1
161,"Excellent explanation, very! clear and easy to follow.",0
162,This channel deserves way more subscribers.,0
163,How! long did it take you to create this?,4
164,Make a part two of this video! immediately!,6
165,Do not skip! the introduction next time please.,6
166,Fix! the audio levels in your next upload.,6
167,The date you mentioned is actually off by one year.,5
168,What software did you use to make this video?,4
169,The editing is horrible and the pacing! is off.,1
170,Why does this happen the way it does?,4
171,"Thank you so much for sharing this, really helpful!",0
172,There are subtitles available for this video.,2
173,Can someone explain what this means?,4
174,"Make money online fast, no experience needed!",3
175,The presenter talks about several points.,2
176,"Visit my website for amazing deals, link in bio!",3
177,"Beautifully made, the quality! is outstanding.",0
178,You switched the x and y axes in that chart.,5
179,The formula you used there is actually wrong.!,5
180,"The audio quality! is awful, could not understand anything.",1
181,The formula you used there is actually wrong.,5
182,"I learned so much from this, thank! you!",0
183,"Actually that is not correct,! the answer is different.",5
184,Subscribe to my channel! for free money giveaway!,3
185,What is the name of the! song in the background?,4
186,The! formula you used there is actually wrong.,5
187,Please respond to your! comments more often.,6
188,"Free crypto airdrop, send me your wallet address!",3
189,This is the most confusing explanation I have ever! seen.,1
190,I watched this video.,2
191,Please respond to your comments more often.,6
192,"Visit! my website for amazing deals, link in bio!",3
193,"Upload more frequently, we! need this content!",6
194,Is! this method still relevant in the current year?,4
195,You confused two different concepts in this part.,5
196,Turn on the captions for accessibility.,6
197,How long did it take you to create! this?,4
198,Pin this comment so everyone can see it.!,6
199,"This is terrible, complete waste of my time.",1
200,Pin this comment so everyone can see it.,6
201,"Small error in the code, you forgot! a closing bracket.",5
202,"Very! rude presenter, extremely off-putting.",1
203,Subscribe to my channel for free money giveaway!,3
204,Can you make a follow up video on! this topic?,4
205,The presenter talks! about several points.,2
206,"I learned so much from this, thank you!!",0
207,"Great video, very informative and well explained.",0
208,Can you make a follow up video on this topic?,4
209,Add timestamps to your videos please.!,6
210,Is this suitable for complete beginners?!,4
211,Pin this comment so everyone can see it.,6
212,You switched the x and y axes in that chart.,5
213,Has anyone tried this on a Mac instead of Windows?,4
214,"Excellent! explanation, very clear and easy to follow.",0
215,"Buy cheap views and subscribers now, DM me!",3
216,Add timestamps to your videos please.,6
217,One of the best videos I have watched in a long time.!,0
218,"Actually that is not correct, the answer is different.!",5
219,This channel is going downhill fast.,1
220,This is completely wrong and misleading information.,1
221,Please include! the source links in the description.,6
222,Where can! I download the files you used here?,4
223,"Small error in! the code, you forgot a closing bracket.",5
224,The video has a few chapters.,2
225,You made a mistake at around the three minute! mark.,5
226,Does anyone know where I! can find more like this?,4
227,Do not cut the video so abruptly at! the end.,6
228,"Actually that is not correct, the answer is different.!",5
229,What software did you use to make this video?,4
230,Subscribe to my channel for free money giveaway!,3
231,"I got 10000 subscribers in one day, here is how!!",3
232,"So many errors in this video, very unprofessional.",1
233,The video has a few chapters.,2
234,Add timestamps to your videos! please.,6
235,The link you shared in the description is broken.,5
236,I watched this video.,2
237,"You are! incredibly talented, this is top notch.",0
238,"Beautifully made, the quality is! outstanding.",0
239,This is completely wrong and misleading information.,1
240,That calculation gives a different result when done correctly.,5
241,This video is about twelve minutes long.,2
242,I think you got the steps in the wrong order here.,5
243,Why is my result different from what you showed?,4
244,"The audio quality is awful,! could not understand anything.",1
245,"Buy cheap views and subscribers now, DM me!",3
246,"I do not recommend this at all, very! bad content.",1
247,This channel is going downhill fast.,1
248,"Free followers and likes at my profile, check it out!",3
249,Please! respond to your comments more often.,6
250,This is the most confusing explanation I! have ever seen.,1
251,Really appreciate the effort you put into this.,0
252,I came across this! while browsing.,2
253,The date you mentioned is actually off by one year.,5
254,I watched this on my phone.,2
255,"Great video,! very informative and well explained.",0
256,"Really boring and poorly made, thumbs down.",1
257,"I got 10000 subscribers in one day, here is how!",3
258,The video was uploaded today.,2
259,"I make! 500 dollars a day from home, ask me how!",3
260,"Worst video I have seen, very! disappointing.",1
261,Click here to win a free iPhone now!!!,3
262,"So many! errors in this video, very unprofessional.",1
263,What is the name of the song in the background?!,4
264,"Excellent! explanation, very clear and easy to follow.",0
265,This is completely wrong and misleading information.,1
266,Please respond to your! comments more often.,6
267,"Actually that is not correct, the answer is different.",5
268,This is completely wrong! and misleading information.,1
269,"Beautifully made, the quality is outstanding.",0
270,"Bot followers for sale, cheapest rates guaranteed!",3
271,"Buy cheap views and subscribers now, DM me!",3
272,"So! well done, I watched it three times already.",0
273,"Bot followers for sale,! cheapest rates guaranteed!",3
274,"Worst video I have seen, very disappointing.",1
275,"That definition is not quite accurate, please check again.",5
276,Can someone explain what! this means?,4
277,"That is a common misconception, the real answer is different.",5
278,Is! this suitable for complete beginners?,4
279,I paused this halfway through.!,2
280,"Thank you so much for sharing this, really helpful!",0
281,One of the best videos I have watched in a long time.,0
282,Do not cut the video so abruptly at the end.,6
283,"Buy cheap views! and subscribers now, DM me!",3
284,"So well done, I watched it three times already.",0
285,"This is a scam avoid at! all costs, visit my page instead!",3
286,There are subtitles available for this video.!,2
287,Can someone explain! what this means?,4
288,First comment! Subscribe to me for no! reason!,3
289,"Clickbait title, the video delivers nothing.",1
290,"This made my day, so inspiring and motivating.",0
291,What! do you think about the alternative approach?,4
292,"The audio quality is! awful, could not understand anything.",1
293,"I regret watching this, total garbage.!",1
294,"Very rude presenter, extremely off-putting.",1
295,I came! across this while browsing.,2
296,This! channel deserves way more subscribers.,0
297,Do not forget to add subtitles next time.,6
298,Share this video with everyone you know.!,6
299,Do you have a written version of this tutorial?,4
300,Pin this comment so everyone can see it.!,6
301,You mislabeled the diagram in! this section.,5
302,"Visit my website for! amazing deals, link in bio!",3
303,"The audio quality is awful,! could not understand anything.",1
304,"This made my day, so inspiring and! motivating.",0
305,Pin this comment so everyone can see it.,6
306,The link you shared in the description is broken.,5
307,The video was uploaded today.,2
308,"Really boring and poorly! made, thumbs down.",1
309,The link you shared in the description is broken.,5
310,I think you got the steps in the wrong order here.,5
311,How many hours did you spend on this project?,4
312,This is completely wrong and! misleading information.,1
313,"Perfect video, exactly what! I was looking for.",0
314,"I make 500 dollars a day from home, ask me how!",3
315,"Beautifully made, the quality is outstanding.",0
316,I think you got the steps in the wrong order here.,5
317,Please make more videos on this subject!,6
318,"I make 500 dollars a day from home, ask me how!",3
319,This channel is going downhill fast.,1
320,Promo code SPAM50 for discount on my useless product!!,3
321,Really appreciate the effort you put into this.,0
322,"I make 500! dollars a day from home, ask me how!",3
323,"Make money online! fast, no experience needed!",3
324,Fix! the audio levels in your next upload.,6
325,Please include the source links in the description.,6
326,The presenter talks about several points.,2
327,"You are incredibly talented, this is top notch.",0
328,"Visit my website for amazing deals, link in bio!",3
329,"This is terrible, complete waste! of my time.",1
330,This was suggested to! me by YouTube.,2
331,"Stop using that background music,! it is distracting.",6
332,"Bot followers for sale, cheapest rates guaranteed!!",3
333,"So well done, I watched it three times already.",0
334,Please make more videos on this subject!,6
335,The presenter! talks about several points.,2
336,This channel deserves way more subscribers.,0
337,"Clickbait title, the video delivers nothing.",1
338,Does anyone know where I can find more like this?,4
339,Can you make a follow up video on! this topic?,4
340,Is this method still relevant in! the current year?,4
341,I paused this halfway through.!,2
342,The editing is horrible and the pacing is off.!,1
343,One of the best videos I have watched in a long time.,0
344,There! are subtitles available for this video.,2
345,"Great video, very informative and well explained.",0
346,You switched the x and y axes in that chart.!,5
347,I paused this halfway through.,2
348,"Upload more frequently, we need this content!",6
349,"Free crypto! airdrop, send me your wallet address!",3
350,I think you got the! steps in the wrong order here.,5
351,"This made my day, so inspiring! and motivating.",0
352,"Beautifully made, the quality is outstanding.",0
353,Add timestamps to your videos please.!,6
354,This channel deserves way more subscribers.,0
355,"This is terrible, complete waste of my time.",1
356,"Free followers and likes at my profile, check it out!",3
357,The video has a few chapters.,2
358,Subscribe to my channel for free money giveaway!,3
359,Do not skip the introduction next time please.,6
360,Can someone explain what this means?,4
361,The video was uploaded today.,2
362,"Nothing! useful here, just filler content.",1
363,"You! are incredibly talented, this is top notch.",0
364,This was suggested to me by! YouTube.,2
365,"Beautifully made, the quality is outstanding.",0
366,You mislabeled the diagram in this section.,5
367,"Actually that is not correct, the answer is different.",5
368,This is a video about the topic.,2
369,"Clickbait title, the video delivers nothing.",1
370,Has anyone tried this on a Mac instead of! Windows?,4
371,"I do not recommend this at all, very bad content.",1
372,This video is! about twelve minutes long.,2
373,"I learned so much from this, thank you!!",0
374,"Bot followers for sale, cheapest rates guaranteed!",3
375,"I do not recommend this! at all, very bad content.",1
376,Subscribe to my channel for free money giveaway!,3
377,"So many errors in this video, very unprofessional.",1
378,"Small error in the code,! you forgot a closing bracket.",5
379,"So many! errors in this video, very unprofessional.",1
380,"Fantastic content, keep up the great work!",0
381,"This is terrible, complete waste of my time.",1
382,"This is terrible, complete waste of my time.",1
383,"Great! video, very informative and well explained.",0
384,"So well done, I watched! it three times already.",0
385,"This is a scam avoid at all costs, visit my page instead!",3
386,"That is a common misconception, the real answer is different.",5
387,"Beautifully made, the quality is outstanding.!",0
388,Why is my! result different from what you showed?,4
389,"Very rude! presenter, extremely off-putting.",1
390,"This is absolutely amazing, loved every second of it!",0
391,The thumbnail caught my attention.,2
392,One of the best videos I! have watched in a long time.,0
393,The date you mentioned is actually off by one year.,5
394,The! presenter talks about several points.,2
395,"This made my day,! so inspiring and motivating.",0
396,Promo! code SPAM50 for discount on my useless product!,3
397,"Worst video I have seen, very disappointing.",1
398,You confused two different concepts in! this part.,5
399,"Really boring! and poorly made, thumbs down.",1
400,The date you mentioned is actually off by one year.!,5
401,Do you have a written version of! this tutorial?,4
402,I paused this halfway through.,2
403,I believe you meant to say the opposite of what you said.,5
404,Can! you make a follow up video on this topic?,4
405,Pin this comment so everyone can see it.,6
406,"This is absolutely amazing, loved every second of it!!",0
407,"Actually that is not! correct, the answer is different.",5
408,What do you think about the alternative approach?,4
409,"Very rude! presenter, extremely off-putting.",1
410,"Worst video I have! seen, very disappointing.",1
411,Subscribe to my channel for free! money giveaway!,3
412,"Free followers and likes! at my profile, check it out!",3
413,"Bot followers for sale, cheapest rates guaranteed!!",3
414,"I got 10000 subscribers in one day, here is how!",3
415,What software did you use to make this! video?,4
416,Unsubscribed after watching this disaster.,1
417,"Really boring and poorly made, thumbs down.",1
418,The video covers the basics.!,2
419,I think! you got the steps in the wrong order here.,5
420,The video was uploaded today.!,2
421,"Really boring and poorly! made, thumbs down.",1
422,This! channel is going downhill fast.,1
423,I think you got the steps in the! wrong order here.,5
424,Is this suitable for complete beginners?,4
425,What software did you use to! make this video?,4
426,"Really boring and poorly made, thumbs down.",1
427,"Make money online fast, no experience needed!",3
428,The video has a few! chapters.,2
429,"I make 500 dollars a day from home, ask me how!",3
430,Subscribe to! my channel for free money giveaway!,3
431,"So many errors in this video, very! unprofessional.",1
432,I found this in my recommendations.,2
433,This video is about twelve minutes long.,2
434,The spelling of that term! is incorrect in your slides.,5
435,"That is a common misconception, the real answer is different.!",5
436,You switched the x and y axes in that chart.,5
437,I found this in my recommendations.,2
438,"I got 10000 subscribers in! one day, here is how!",3
439,"I make 500 dollars a day from home, ask me how!",3
440,"I do not recommend this at all, very bad content.!",1
441,"Perfect video, exactly what I was looking for.",0
442,"Free followers and likes at! my profile, check it out!",3
443,"That definition is not quite! accurate, please check again.",5
444,Is this method still relevant in the current year?,4
445,This is the most confusing explanation I have! ever seen.,1
446,You made a mistake at around the three minute mark.,5
447,The presenter talks about several points.!,2
448,"Perfect video,! exactly what I was looking for.",0
449,"Excellent explanation, very clear and easy to follow.",0
450,Add timestamps to your! videos please.,6
451,Really appreciate the effort you put into this.,0
452,Add timestamps to your videos please.!,6
453,"Nothing useful here, just filler content.",1
454,"I learned so much from this, thank! you!",0
455,"Buy cheap views! and subscribers now, DM me!",3
456,Please slow down when explaining complex parts.,6
457,The link you shared in the description is broken.,5
458,"Actually that is not correct, the answer is different.",5
459,"The audio quality is awful, could not understand anything.",1
460,I think you! got the steps in the wrong order here.,5
461,There are links in the description.,2
462,"You are incredibly talented,! this is top notch.",0
463,"Stop using that background music,! it is distracting.",6
464,Turn on! the captions for accessibility.,6
465,The video has a few chapters.,2
466,The spelling of that term is! incorrect in your slides.,5
467,"Bot followers for sale, cheapest rates guaranteed!",3
468,"Worst video I have seen, very! disappointing.",1
469,What! software did you use to make this video?,4
470,"Free crypto airdrop, send me your wallet address!",3
471,There are subtitles available for this video.,2
472,This channel deserves way more subscribers.!,0
473,Does anyone know where I can find more like this?,4
474,Please include the source links in the description.,6
475,"Fantastic content, keep up! the great work!",0
476,"Fantastic content, keep up the! great work!",0
477,I watched this on my phone.,2
478,"The audio quality is awful, could not! understand anything.",1
479,First comment! Subscribe to me for! no reason!,3
480,"This is absolutely amazing, loved every second of it!",0
481,This video is about! twelve minutes long.,2
482,"Worst video I have seen, very disappointing.",1
483,Do not cut the video so abruptly at the end.,6
484,I came across this while browsing.!,2
485,Share this video with everyone you know.,6
486,Do not skip the introduction next time please.,6
487,Has anyone tried this on a Mac instead! of Windows?,4
488,"This made my day, so! inspiring and motivating.",0
489,What is the name of the song in the background?,4
490,Please respond to your comments more! often.,6
491,Please make more videos on this subject!,6
492,"Free crypto airdrop,! send me your wallet address!",3
493,Please slow down when! explaining complex parts.,6
494,This video is about twelve minutes long.,2
495,"I do not recommend this at all, very bad content.",1
496,Please make more videos on this subject!,6
497,The thumbnail caught my attention.!,2
498,Please include the source links in the! description.,6
499,I watched this on my phone.,2
500,I watched this! on my phone.,2
501,"Fantastic content, keep up! the great work!",0
502,"Very rude presenter,! extremely off-putting.",1
503,This channel deserves way more subscribers.,0
504,"That definition is not quite accurate,! please check again.",5
505,The editing is horrible and the pacing is off.,1
506,Check my latest video for free robux and vbucks!,3
507,"Great video, very informative and well explained.",0
508,This was suggested! to me by YouTube.,2
509,Is! this method still relevant in the current year?,4
510,"Fantastic content, keep up! the great work!",0
511,The date you mentioned is actually off by one year.,5
512,"You are incredibly talented, this is top notch.",0
513,"Worst video I have seen, very disappointing.",1
514,This! channel deserves way more subscribers.,0
515,Why does this happen! the way it does?,4
516,"The audio quality is awful, could not! understand anything.",1
517,Do not forget to add subtitles next! time.,6
518,There are links in! the description.,2
519,Do not forget to add! subtitles next time.,6
520,"Free crypto airdrop, send me your wallet! address!",3
521,Where can I download! the files you used here?,4
522,Please respond to your comments more often.,6
523,I paused this halfway through.,2
524,Can someone explain what this means?,4
525,Please slow! down when explaining complex parts.,6
526,There are! links in the description.,2
527,"So well done, I watched it three times already.",0
528,There are links in the! description.,2
529,"So well done, I watched it three times already.",0
530,Is this method still relevant in! the current year?,4
531,"Fantastic content,! keep up the great work!",0
532,Can someone explain! what this means?,4
533,I found this in my recommendations.,2
534,Does anyone know where I can find more like this?,4
535,"Free followers and likes at my profile, check it out!",3
536,"This is terrible,! complete waste of my time.",1
537,"The! audio quality is awful, could not understand anything.",1
538,"Visit my! website for amazing deals, link in bio!",3
539,"Make money online fast, no! experience needed!",3
540,I watched this video.,2
541,Do not forget! to add subtitles next time.,6
542,The formula you used there is actually wrong.,5
543,The formula you used there is! actually wrong.,5
544,I believe you meant to say the opposite of what you said.,5
545,I watched this video.,2
546,Where can I download the files you used here?,4
547,This channel! is going downhill fast.,1
548,"Worst video I have seen, very disappointing.!",1
549,"This! is terrible, complete waste of my time.",1
550,"Free crypto airdrop, send me your wallet address!",3
551,"Dating site for singles, click the link below!!",3
552,The presenter talks about several points.,2
553,Please slow down! when explaining complex parts.,6
554,The editing is horrible and the! pacing is off.,1
555,The video covers the basics.,2
556,Fix the audio levels in your next upload.,6
557,"Worst video I have seen, very disappointing.",1
558,Promo code SPAM50 for discount on my useless product!,3
559,"Thank! you so much for sharing this, really helpful!",0
560,"I got 10000 subscribers in one day, here! is how!",3
561,"Bot followers for sale, cheapest rates guaranteed!",3
562,"Dating site for singles, click the link below!",3
563,Really appreciate the effort you! put into this.,0
564,Does anyone know where I can find more! like this?,4
565,I! paused this halfway through.,2
566,"Nothing useful! here, just filler content.",1
567,Add timestamps to your videos please.,6
568,The spelling of that term is incorrect in your slides.,5
569,The video has a few chapters.,2
570,Do not! cut the video so abruptly at the end.,6
571,This was suggested to me by YouTube.,2
572,There are links in the description.,2
573,Can you make a follow up video on this topic?,4
574,I think you got the steps in the wrong order here.,5
575,The date you mentioned is actually off by one year.,5
576,"Make money online fast, no experience needed!!",3
577,"That is a common misconception, the real answer is different.",5
578,The video covers the basics.,2
579,Add timestamps to your videos please.,6
580,That calculation gives a different result when done correctly.,5
581,Do you have a written version of this tutorial?,4
582,Fix the audio levels in your next upload.!,6
583,This is the most confusing explanation I have ever seen.,1
584,"I regret watching this, total garbage.",1
585,Please make more videos on this subject!!,6
586,How long did it! take you to create this?,4
587,How many hours did you spend on this project?,4
588,"Visit my website for amazing deals, link in bio!",3
589,"Really boring and poorly made, thumbs down.",1
590,This is completely wrong and misleading information.,1
591,What is the name of the song in the background?,4
592,I think you! got the steps in the wrong order here.,5
593,"That definition is not quite! accurate, please check again.",5
594,How many hours did you spend on this! project?,4
595,I think you got the steps in the wrong order here.,5
596,"Stop using that background music, it! is distracting.",6
597,This channel deserves way more subscribers.,0
598,"You are incredibly talented,! this is top notch.",0
599,"That is a common! misconception, the real answer is different.",5
600,"You are! incredibly talented, this is top notch.",0
601,"Very rude presenter, extremely! off-putting.",1
602,Why is my result different from what you showed?,4
603,One of the best videos I have watched in a long time.,0
604,Add timestamps to your videos please.,6
605,Do you have a written version of this tutorial?,4
606,I came across! this while browsing.,2
607,This channel deserves way more subscribers.,0
608,"This is pure gold, thank you for the hard work.",0
609,"Perfect video, exactly what I was looking for.",0
610,"Free followers and! likes at my profile, check it out!",3
611,"Very! rude presenter, extremely off-putting.",1
612,This! is completely wrong and misleading information.,1
613,"Excellent explanation, very clear and easy to follow.",0
614,What do you think about the alternative! approach?,4
615,"Beautifully made, the quality is outstanding.",0
616,Can someone explain what this means?,4
617,"Buy cheap views and subscribers now, DM me!",3
618,I watched this video.,2
619,The formula you used there is! actually wrong.,5
620,"Bot followers for! sale, cheapest rates guaranteed!",3
621,"I make 500 dollars a day from home, ask me how!",3
622,First comment! Subscribe to me! for no reason!,3
623,"Nothing! useful here, just filler content.",1
624,The video has a few chapters.,2
625,Please respond to your comments more often.,6
626,Please! slow down when explaining complex parts.,6
627,The video! was uploaded today.,2
628,The presenter talks about several points.,2
629,Why is my result different from what you showed?,4
630,Really appreciate the! effort you put into this.,0
631,Really appreciate the effort you put into this.,0
632,I watched this video.,2
633,"I make 500 dollars a! day from home, ask me how!",3
634,What do you think about the! alternative approach?,4
635,I found this! in my recommendations.,2
636,The presenter talks about several points.,2
637,This video! is about twelve minutes long.,2
638,Do not skip the! introduction next time please.,6
639,The! video was uploaded today.,2
640,"I! got 10000 subscribers in one day, here is how!",3
641,Share this video with everyone you know.,6
642,Really appreciate the effort you put into this.,0
643,"I make 500 dollars a day from home, ask! me how!",3
644,This is! completely wrong and misleading information.,1
645,Make a part two! of this video immediately!,6
646,Do not cut the video so abruptly at the end.,6
647,The editing is horrible and the pacing is off.,1
648,"Free crypto airdrop, send me your wallet address!",3
649,"Perfect video, exactly what I was looking for.",0
650,I paused this halfway through.,2
651,The link you shared in the description! is broken.,5
652,I came across this while browsing.,2
653,Add timestamps to your videos please.,6
654,"This is terrible, complete waste of my time.",1
655,I watched this on my phone.,2
656,I think you got the steps in the wrong order here.,5
657,Why does this happen the way it does?,4
658,"You are incredibly talented, this is! top notch.",0
659,What is! the name of the song in the background?,4
660,Is this method still relevant in the current year?!,4
661,"I do not recommend this at all, very bad content.",1
662,I watched this video.,2
663,"Bot! followers for sale, cheapest rates guaranteed!",3
664,"Beautifully made, the! quality is outstanding.",0
665,The link you shared in the description is broken.,5
666,The link you shared in the description is broken.,5
667,Does anyone know where I can find more like this?,4
668,There are subtitles available for! this video.,2
669,The video has a few chapters.,2
670,"Buy cheap views and subscribers now, DM! me!",3
671,"Stop using that background music, it is distracting.",6
672,"That definition! is not quite accurate, please check again.",5
673,What do you think about the alternative approach?,4
674,"I do! not recommend this at all, very bad content.",1
675,"Visit my website for amazing! deals, link in bio!",3
676,"Excellent explanation, very clear and easy to follow.",0
677,Please include! the source links in the description.,6
678,Can someone explain what! this means?,4
679,"You are incredibly talented,! this is top notch.",0
680,Can you make a follow up video on this topic?,4
681,Has anyone tried this on! a Mac instead of Windows?,4
682,"I regret watching this,! total garbage.",1
683,The formula you used there is actually wrong.,5
684,What do you think about the alternative approach?,4
685,"Nothing useful here, just filler content.",1
686,How many hours! did you spend on this project?,4
687,There are links in the description.!,2
688,I found this! in my recommendations.,2
689,"Really boring! and poorly made, thumbs down.",1
690,You mislabeled the diagram in this! section.,5
691,Promo code SPAM50! for discount on my useless product!,3
692,Why! does this happen the way it does?,4
693,Unsubscribed after watching this disaster.,1
694,You switched the x and y axes in that chart.,5
695,"Stop using that background music, it! is distracting.",6
696,First comment! Subscribe to me for no reason!,3
697,That calculation gives a different result when done correctly.,5
698,You switched the x! and y axes in that chart.,5
699,"Stop using that background music, it is distracting.",6
700,"Perfect video, exactly what I was looking for.",0
701,I paused this! halfway through.,2
702,I! watched this on my phone.,2
703,This is a video about the topic.,2
704,There! are links in the description.,2
705,"Clickbait title, the! video delivers nothing.",1
706,The thumbnail caught my attention.,2
707,"Upload! more frequently, we need this content!",6
708,The editing is horrible and the! pacing is off.,1
709,How long did it take you to create this?,4
710,You switched the x and y! axes in that chart.,5
